name,season,stage,vote,search,age
Kim Do-ah,3,2,55.8,0.52231,14
Moe Goto,3,2,49.16,1.09212,17
Jang Gyu-ri,3,2,52.59,1.04569,20
Huh Yun-jin,3,2,73.03,1.50668,16
Kim Si-hyeon,3,2,54.97,0.11647,18
Wang Yi-ren,3,2,64.39,0.69237,17
Na Go-eun,3,2,48.81,0.165,18
Lee Si-an,3,2,58.97,0.42929,19
Ko Yu-jin,3,2,46.96,7.69737,17
Son Eun-chae,3,2,36.66,0.18361,18
Erii Chiba,3,2,35.99,0.70953,14
Mako Kojima,3,2,35.38,0.19393,21
Yoon Hae-sol,3,2,34.33,0.09006,20
Bae Eun-yeong,3,2,33.4,0.14336,21
Chiyori Nakanishi,3,2,30.83,0.16382,23
Tomu Muto,3,2,29.93,1.09212,23
Minami Sato,3,2,29.37,0.6497,14
Saho Iwatate,3,2,28.89,0.16008,23
Noe Yamada,3,2,27.1,0.61772,18
Nanami Asai,3,2,27,0.28172,18
Kim So-hee,3,2,26.92,0.3342,14
Kim Min-seo,3,2,25.77,0.09506,15
Vivian Murakawa,3,2,25.54,0.30517,18
Kim Hyun-ah,3,2,25.39,0.08358,23
Kim Su-yun,3,2,25.12,0.03745,17
Lee Ha-eun,3,2,25.97,0.15813,13
Misaki Aramaki,3,2,24.08,0.07271,17
Kim Cho-yeon,3,2,24.01,0.22779,16
Lee Yu-jeong,3,2,20.46,0.07529,14
Aoi Motomura,3,2,20.1,0.09045,21
Park Min-ji,3,2,19.38,0.09286,19
Yu Min-young,3,2,19.13,0.04516,18
Park Seo-young,3,2,17.27,0.44657,19
Wang Ke,3,2,16.77,0.14204,17
Cho Ka-hyeon,3,2,13.77,0.05316,15
Jeon So-mi,1,1,52.88,6.99526,15
Kim Se-jeong,1,1,55.97,5.89883,20
Choi Yoo-jung,1,1,39.28,1.65724,16
Kim Chung-ha,1,1,19.38,0.14694,20
Kim So-hye,1,1,22.77,1.56344,17
Zhou Jieqiong,1,1,38.75,0.68639,17
Jung Chae-yeon,1,1,25.15,0.34423,18
Kim Do-yeon,1,1,20.3,0.10405,16
Kang Mi-na,1,1,37.7,0.18644,16
Im Na-young,1,1,10.78,0.244,20
Yoo Yeon-jung,1,1,21.47,1.35739,17
Han Hye-Ri,1,1,12.51,0.04798,19
Lee Su-Hyun,1,1,6.56,0.05132,20
Kim Na-Young,1,1,25.06,0.42669,20
Kim So-Hee,1,1,10.95,0.13819,21
Yoon Chae-Kyung,1,1,15,0.05457,20
